Species,Elevation,Body_length,Proboscis_length,Head_diameter,Body_diameter,Weight_dry,Pollen_head,Pollen_thorax,Pollen_legs,Pollen_abdomen
Coenosia_sp.,1181,3.090833333,0.828888889,0.869166667,NA,0.61,0.666666667,1.416666667,1.25,0.75
Coenosia_sp.,1463,3.326875,0.816875,0.868125,NA,0.455,0.444444444,1.055555556,1.388888889,0.833333333
Coenosia_sp.,1632,3.475,0.734,0.985,NA,NA,0.5,1.333333333,1.333333333,1
Coenosia_sp.,2080,3.115,0.73,0.7525,NA,NA,1,1.25,1,1
Coenosia_sp.,2283,3.601176471,0.934117647,0.940588235,NA,0.8,0.352941176,1.058823529,1.058823529,0.941176471
Coenosia_sp.,2379,3.290333333,0.857826087,0.866,NA,0.503333333,0.433333333,1.3,1.266666667,0.533333333
Coenosia_sp.,2587,3.151666667,0.86,0.816666667,NA,NA,0.166666667,0.833333333,1,0.333333333
Coleophora_sp.,1181,5.59,3.85,0.85,NA,NA,0,0,1,0
Collembola_sp.,2587,0.79,NA,0.36,NA,NA,0,0,0,0
Conicera_floricola,1463,1.53,NA,0.46,NA,NA,0,0,0,0
Conicera_sp.,1463,1.25,NA,0.31,NA,NA,0,0,0,0
Corynoptera_sp.,1463,1.92,NA,0.31,NA,NA,1,2,3,1
Corynoptera_sp.,1860,1.71,NA,0.325,NA,NA,0,0,0.5,0
Corynoptera_sp.,2080,1.61,NA,0.27,NA,NA,0,0,1,0
Corynoptera_sp.,2283,1.91,NA,0.305,NA,NA,0.5,0.5,0.5,0
Crambinae_sp.,1181,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Cratyna_colei,1181,1.88,NA,0.365,NA,NA,0.5,1,0,0
Cratyna_nobilis,1463,1.33,NA,0.32,NA,NA,0,0,0,0
Cratyna_sp.,1632,3.04,NA,0.4,NA,NA,0,0,1,0
Cratyna_sp.,1860,2.065,NA,0.3875,NA,NA,0,0.25,0,0.5
Cratyna_sp.,2283,1.841428571,NA,0.324285714,NA,NA,0.142857143,0.428571429,0.571428571,0
Cratyna_sp.,2379,2.09,NA,0.31,NA,NA,0,1,1,0
Cryptophagidae_sp.,1860,6.34,NA,1.62,2.66,NA,2,3,3,2
Curculionidae_sp.,1463,2.7,1.063333333,0.43,0.856666667,NA,0,0.333333333,1,0.666666667
Curculionidae_sp.,1860,2.456,1.144,0.422,0.836,NA,0.4,1,1.6,1
Curculionidae_sp.,2080,2.858333333,1.013888889,0.562222222,1.148888889,0.14,0.166666667,1.111111111,1.277777778,1.611111111
Curculionidae_sp.,2283,2.87,0.86,0.56,1.1,NA,2,2,3,3
Delia_nuda,2283,4.83,1.2,1.2,NA,NA,0,1,1,0
Delia_nuda,2379,4.57,0.93,1.4,NA,NA,1,1,1,0
Delia_sp.,2379,3.7,0.89,1.15,NA,NA,1,1,1,1
Delphacidae_sp.,1181,2.99,0.49,0.88,NA,NA,0,0,0,1
Delphacidae_sp.,1860,2.665,0.44,0.77,NA,NA,0,0.25,0,0
Diapriidae_sp.,2283,2.13,NA,0.47,NA,NA,1,1,0,0
Diapriidae_sp.,2587,3.57,NA,0.51,NA,NA,1,0,1,1
Dicyrtomidae_sp.,2379,0.695,NA,0.2425,NA,NA,0,0,0,0.25
Dilophus_sp.,1860,5.163333333,0.32,0.786666667,NA,NA,1,1.666666667,1.666666667,1.333333333
Dinera_carinifrons,1632,6.44,1.78,1.56,NA,NA,2,3,2,1
Diplonevra_crassicornis,2283,2.58,NA,0.73,NA,NA,0,1,0,0
Diplonevra_glabra,1181,1.76,NA,0.53,NA,NA,1,0,1,0
Diptera_sp.,1860,5.063636364,0.654545455,1.209090909,NA,NA,2,3,3,3
Dolichopodidae_sp.,1181,4.085833333,0.459090909,1.015,NA,NA,0.416666667,0.833333333,0.833333333,0.25
Dolichopodidae_sp.,1463,3,NA,0.96,NA,NA,0,0,2,1
Dolichopodidae_sp.,1632,2.91,NA,0.86,NA,NA,0,1,1,0
Dolichopodidae_sp.,2080,2.29,NA,0.75,NA,NA,0.333333333,0.666666667,0.666666667,0.333333333
Dolichopodidae_sp.,2283,4.08,0.54,1.06,NA,NA,0,0,0,0
Drymeia_alpicola,1632,6.39,0.99,1.64,NA,NA,NA,NA,NA,NA
Drymeia_alpicola,2080,6.16,1.86,1.59,NA,NA,1,3,1,3
Drymeia_alpicola,2283,7.64,1.853333333,1.866666667,NA,NA,0.666666667,3,2,1.666666667
Drymeia_brumalis,1632,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Drymeia_hamata,1181,7.24,2.27,1.89,NA,NA,1,2,2,1
Drymeia_hamata,1860,7.67,1.295,2.05,NA,NA,1.5,2.5,3,2
Drymeia_sp.,1181,5.02,0.862,1.392,NA,NA,0.6,1.8,2,0.8
Drymeia_sp.,1463,5.631666667,1.021666667,1.363333333,NA,3.325,1.333333333,2.833333333,2.833333333,2.333333333
Drymeia_sp.,1860,4.806,0.978,1.29,NA,NA,0.75,1.25,1.5,0.5
Drymeia_sp.,2080,6.36,2.19,1.64,NA,NA,1,3,2,3
Drymeia_sp.,2283,5.627333333,1.326666667,1.499333333,NA,1.92,1.333333333,2.933333333,2.933333333,1.933333333
Drymeia_sp.,2379,6.04,1.83,1.88,NA,NA,3,3,3,3
Eana_osseana,1860,7.415,1.685,1.135,NA,NA,0.5,0,0.5,0
Eana_osseana,2283,7.24,1.48,1.16,NA,NA,0,0,0,0
Egle_inermis,2283,2.15,0.54,0.69,NA,NA,0,2,1,1
Elateridae_sp.,1181,11.3,NA,1.686666667,3.203333333,NA,0.2,0.8,1.6,1.4
Elateridae_sp.,1463,12.775,NA,1.835,3.32,NA,0.5,0.5,2,1.5
Elateridae_sp.,1860,12.48,NA,1.98,3.38,NA,1,1,1,1
Elateridae_sp.,2080,12.82,NA,2.033333333,3.596666667,NA,1,3,1.666666667,2
Elateridae_sp.,2283,12.25666667,NA,2.063333333,3.983333333,NA,3,3,3,3
