Plant_species	Plot	Elevation	Display_size	Flower_diameter	Floral_depth	Petal_width	Petal_length	Stylus_length	Filament_length	Nectar_depth	Nectar_width	Stylus_position	Filament_position	Plant_height	Flower_inclination	Leaf_inclination	Number_leaves	Number_inflorescense	Number_flowers_per_inflo	Leaf_width	Leaf_length	Leaf_thickness	Leaf_Area	Leaf_weight_fresh	Leaf_weight_dry	Succulence	Specific_leaf_weight	Leaf_lobation
Hieracium_alpinum	Hochmais	1860	27.52	2.7	18.6	2.2	18.6	12.82	7.65	5.49	0.46	7.33	2.16	139	175	170	10	1	40	13.88	45.11	0.36	8.9915754	0.319	0.1712	0.164376089	0.19040045	1.093821309
Hieracium_alpinum	Hochmais	1860	34.3	2.82	19.78	3.39	19.78	10.79	7.96	6.25	0.55	4.54	1.71	252	180	160	7	1	68	8.03	65.31	0.38	8.756248245	0.411	0.1698	0.275460441	0.193918668	0.940799419
Hieracium_alpinum	Hochmais	1860	24.6	3.59	21.5	2.28	21.5	17.01	10	6.28	0.71	10.73	3.72	209	175	150	4	1	21	15.18	105.86	0.39	3.663296827	1.464	0.5527	2.487649904	1.508750249	6.89051097
Hieracium_murorum	Schupfer_Hochalm	1632	13.32	0.76	6.48	0.24	6.17	6.48	5.24	2.29	0.47	4.19	2.95	153	180	105	5	1	18	6.23	35.21	0.7	1.806283082	0.0928	0.0838	0.049826077	0.46393614	1.907603605
Hieracium_murorum	Schupfer_Hochalm	1632	14.25	0.73	6.78	0.18	5.85	6.78	5.04	2.25	0.49	4.53	2.79	192	180	135	5	1	37	6.81	33.18	0.1	1.780504571	0.0552	0.049	0.03482159	0.275202888	1.993426731
Hieracium_murorum	Schupfer_Hochalm	1632	14.84	1.39	7.02	0.1	6.45	7.02	5.61	2.53	0.34	4.49	3.08	145	180	135	10	1	31	6.29	30.65	0.12	1.420911528	0.0608	0.0562	0.032373585	0.395520755	2.131247876
Hieracium_murorum	Schupfer_Hochalm	1632	11.76	0.85	7.35	0.21	6.91	7.35	5.24	2.74	0.5	4.61	2.5	150	175	110	2	1	26	8.69	35.51	0.1	2.344538393	0.0786	0.0717	0.0294301	0.305817129	2.067440296
Hieracium_murorum	Schupfer_Hochalm	1632	21.8	0.66	8.04	0.24	8.04	7.77	5.86	3.06	0.38	4.71	2.8	151	180	105	5	1	28	6.28	32.49	0.6	1.741389977	0.064	0.0586	0.031009711	0.33651279	1.840488854
Hieracium_murorum	Schupfer_Hochalm	1632	10.36	0.61	10.39	0.27	10.39	8.01	5.77	3.76	0.38	4.25	2.01	283	115	125	3	1	23	11	59.34	0.11	3.98240187	0.1437	0.1269	0.042185597	0.318651919	2.574631159
Hieracium_murorum	Schupfer_Hochalm	1632	17.91	0.63	11.16	0.35	11.16	8.32	6.17	3.54	0.52	4.78	2.63	148	180	115	9	1	24	11.69	43.77	0.16	3.209115282	0.1695	0.1649	0.014334169	0.513848789	2.504526413
Homogyne_alpina	Fuscher_Tal	1181	4.69	3.05	5.36	0.55	5.3	7.52	5.76	2.99	0.42	4.53	2.77	150	120	115	5	1	14	21.01	17	0.32	2.812101688	0.4346	0.4006	0.120906012	1.424557304	1.995096146
Homogyne_alpina	Fuscher_Tal	1181	6.95	2.51	6.14	0.61	6.12	9.08	6.92	3.9	0.5	5.18	3.02	185	140	80	2	1	9	22.99	16.28	0.28	2.957910218	0.6116	0.5647	0.158557889	1.909118122	1.987596673
Homogyne_alpina	Fuscher_Tal	1181	6.86	3.79	6.24	0.63	5.87	9.38	7.38	4.14	0.51	5.24	3.24	210	150	110	3	1	20	25.1	22.3	0.45	4.626934659	0.3197	0.2918	0.060299101	0.630655113	1.900225296
Homogyne_alpina	Fuscher_Tal	1181	5.41	3.8	6.6	0.59	6.21	8.3	6.84	3.15	0.45	5.15	3.69	180	170	120	3	1	8	20.22	16.08	0.29	2.489670145	0.616	0.5681	0.192394965	2.281828383	2.051375958
Homogyne_alpina	Fuscher_Tal	1181	5.91	3.61	6.92	0.72	6.3	9.37	7.06	3.55	0.55	5.82	3.51	155	140	105	3	1	13	18.8	17.75	0.27	2.70719238	0.8506	0.7066	0.531916391	2.610084179	1.936230089
Homogyne_alpina	Fuscher_Tal	1181	7.54	2.24	7.32	0.64	6.92	10.34	7.72	3.97	0.73	6.37	3.75	220	175	85	3	1	26	27.64	23.44	0.31	5.117305133	0.3413	0.3114	0.058429191	0.608523416	1.988722601
Homogyne_alpina	Fuscher_Toerl	2379	13.02	3.13	6.94	0.52	7.75	9.06	7.86	5.74	0.55	3.32	2.12	149	170	110	3	1	31	13.07	11.3	0.33	1.072897719	0.1415	0.1332	0.077360589	1.241497653	2.162298197
Homogyne_alpina	Fuscher_Toerl	2379	15.06	3.54	7.38	0.58	7.66	10.36	8.22	5.8	0.6	4.56	2.42	118	170	120	2	1	26	15	13.21	0.45	1.569819505	0.2569	0.2395	0.110840768	1.525653104	1.98273299
Homogyne_alpina	Fuscher_Toerl	2379	11.73	2.82	7.79	0.69	7.56	9.79	8.07	6.33	0.72	3.46	1.74	120	175	120	2	1	10	12.83	10.29	0.27	1.032950888	0.1129	0.1069	0.058086014	1.034899154	2.007623335
Homogyne_alpina	Fuscher_Toerl	2379	17.7	3.55	8.38	0.79	7.78	13.27	10.62	7.12	0.75	6.15	3.5	178	125	105	2	1	28	19.01	15.74	0.46	2.315936757	0.3591	0.3374	0.093698586	1.45686189	2.029457805
Homogyne_alpina	Fuscher_Toerl	2379	12.05	3.98	8.78	0.79	8.41	14.27	11.1	7.77	0.99	6.5	3.33	205	165	105	2	1	22	16.29	14.16	0.43	1.762767595	0.2286	0.2171	0.065238322	1.231586062	2.0554606
Homogyne_alpina	Fuscher_Toerl	2379	13.98	3.04	9.03	0.64	8.94	12.21	10.12	7.01	0.77	5.2	3.11	137	100	135	2	1	24	18.51	15.81	0.6	2.26696516	0.4328	0.3452	0.386419701	1.522740649	2.02774491
Homogyne_alpina	Fuscher_Toerl	2379	14.93	2.73	9.39	0.63	8.55	13.16	10.04	6.92	0.68	6.24	3.12	148	170	130	2	1	32	15.09	13.3	0.4	1.498181055	0.2482	0.2355	0.084769461	1.571906141	2.104245741
Homogyne_alpina	Hexenkueche	2080	13.63	2.88	7.39	0.77	9.51	12.28	10.09	6.62	1.47	5.66	3.47	149	180	135	2	1	5	19.51	16.99	0.6	NA	0.1758	0.04555	NA	NA	NA
Homogyne_alpina	Hexenkueche	2080	17.5	3.38	7.43	0.68	9.1	11.85	9.56	6.32	1.22	5.53	3.24	140	145	80	2	1	3	30.42	24.89	0.65	NA	0.1851	0.05846	NA	NA	NA
Homogyne_alpina	Hexenkueche	2080	15.89	2.48	7.53	0.61	7.6	9.78	6.58	5.46	0.86	4.32	1.12	110	135	120	2	1	4	27.11	23.85	0.63	NA	0.2627	0.03159	NA	NA	NA
Homogyne_alpina	Hexenkueche	2080	16.95	2.14	7.56	1.02	9.78	12.53	9.85	6.86	1.12	5.67	2.99	149	170	90	2	1	2	26.45	23.48	0.62	NA	0.1023	0.07414	NA	NA	NA
Homogyne_alpina	Hexenkueche	2080	15.68	3.02	8.18	0.69	9.07	12.63	10.62	7.41	1.31	5.22	3.21	180	170	145	1	1	5	27.18	22.01	0.61	NA	0.163	0.04844	NA	NA	NA
Homogyne_alpina	Hexenkueche	2080	15.35	3.14	8.28	0.67	9.37	13.14	10.74	7.18	1	5.96	3.56	130	175	110	3	1	4	23.9	18.33	0.66	NA	0.1237	0.02495	NA	NA	NA
Homogyne_alpina	Hexenkueche	2080	16.7	2.71	8.53	0.6	8.66	12.23	9.58	7.37	1.07	4.86	2.21	155	165	95	2	1	5	27.74	25.37	0.53	NA	0.1712	0.04797	NA	NA	NA
Homogyne_alpina	Hochmais	1860	14.16	3.84	7.77	0.89	8.82	11.89	9.27	6.63	0.84	5.26	2.64	218	170	100	4	1	3	25.25	18.47	0.53	NA	0.1103	0.01853	NA	NA	NA
Homogyne_alpina	Hochmais	1860	13.66	2.78	7.8	0.7	8.27	10.66	8.78	6.48	1.03	4.18	2.3	158	160	125	5	1	7	23.53	19.98	0.44	NA	0.1079	0.02554	NA	NA	NA
Homogyne_alpina	Hochmais	1860	12.36	3.17	7.95	0.75	9.41	10.61	9.74	7.13	1.02	3.48	2.61	186	145	110	5	1	4	27.46	23.16	0.53	NA	0.1662	0.04295	NA	NA	NA
Homogyne_alpina	Hochmais	1860	14.68	3.41	8.03	0.56	9.43	12.11	9.89	6.71	1.06	5.4	3.18	159	175	130	2	1	1	23.64	19.18	0.51	NA	0.1109	0.03339	NA	NA	NA
Homogyne_alpina	Hochmais	1860	13.8	1.97	8.63	0.74	9.01	10.02	9.27	7.16	0.98	2.86	2.11	154	150	145	3	1	2	26.28	20.39	0.47	NA	0.1237	0.03362	NA	NA	NA
Homogyne_alpina	Hochmais	1860	11.32	4.79	8.94	0.79	10.06	11.55	10.54	7.72	1	3.83	2.82	184	165	105	3	1	2	23.22	19.29	0.51	NA	0.137	0.04458	NA	NA	NA
Homogyne_alpina	Hochmais	1860	15.65	3.29	9.47	0.79	10.86	12.38	16.11	8.64	0.75	3.74	7.47	172	175	135	5	1	12	22.31	19.71	0.43	NA	0.1121	0.02628	NA	NA	NA
