"","Species","Body_length","Proboscis_length","Head_diameter"
"413","1181.2",7.8725,2.4625,2.11
"414","1181.2",7.8725,2.4625,2.11
"415","1181.2",6.93,2.13,1.803333333
"416","1181.2",6.93,2.13,1.803333333
"417","1181.2",6.525,1.75,1.7225
"418","1181.2",6.525,1.75,1.7225
"419","1181.2",5.99,1.6,1.3
"420","1181.2",6.46,2.22,1.82
"421","1181.2",6.347777778,2.995142857,1.244166667
"422","1181.2",6.347777778,2.995142857,1.244166667
"423","1181.2",6.347777778,2.995142857,1.244166667
"424","1181.2",6.347777778,2.995142857,1.244166667
"425","1181.2",6.347777778,2.995142857,1.244166667
"426","1181.2",6.347777778,2.995142857,1.244166667
"427","1181.2",6.347777778,2.995142857,1.244166667
"428","1181.2",6.347777778,2.995142857,1.244166667
"429","1181.2",6.347777778,2.995142857,1.244166667
"430","1181.2",6.347777778,2.995142857,1.244166667
"431","1181.2",6.347777778,2.995142857,1.244166667
"432","1181.2",6.347777778,2.995142857,1.244166667
"433","1181.2",6.347777778,2.995142857,1.244166667
"434","1181.2",6.347777778,2.995142857,1.244166667
"435","1181.2",6.347777778,2.995142857,1.244166667
"436","1181.2",6.347777778,2.995142857,1.244166667
"437","1181.2",6.347777778,2.995142857,1.244166667
"438","1181.2",6.347777778,2.995142857,1.244166667
"439","1181.2",6.347777778,2.995142857,1.244166667
"440","1181.2",6.347777778,2.995142857,1.244166667
"441","1181.2",7.91,1.4,2.53
"442","1181.2",12.04,2.983333333,3.876666667
"443","1181.2",3.762631579,1.121052632,1.238947368
"444","1181.2",3.762631579,1.121052632,1.238947368
"445","1181.2",3.762631579,1.121052632,1.238947368
"446","1181.2",3.762631579,1.121052632,1.238947368
"447","1181.2",3.762631579,1.121052632,1.238947368
"448","1181.2",3.762631579,1.121052632,1.238947368
"449","1181.2",3.762631579,1.121052632,1.238947368
"450","1181.2",3.762631579,1.121052632,1.238947368
"451","1181.2",3.762631579,1.121052632,1.238947368
"452","1181.2",3.762631579,1.121052632,1.238947368
"453","1181.2",3.762631579,1.121052632,1.238947368
"454","1181.2",3.762631579,1.121052632,1.238947368
"455","1181.2",3.762631579,1.121052632,1.238947368
"456","1181.2",3.762631579,1.121052632,1.238947368
"457","1181.2",3.762631579,1.121052632,1.238947368
"458","1181.2",8.132,1.33,2.286
"459","1181.2",8.132,1.33,2.286
"460","1181.2",8.132,1.33,2.286
"461","1181.2",8.132,1.33,2.286
"462","1181.2",8.676666667,2.24,2.186666667
"463","1181.2",8.76,1.935833333,2.678333333
"464","1181.2",8.76,1.935833333,2.678333333
"465","1181.2",8.76,1.935833333,2.678333333
"466","1181.2",8.76,1.935833333,2.678333333
"467","1181.2",8.76,1.935833333,2.678333333
"468","1181.2",4.152,1.326,1.344
"469","1181.2",4.152,1.326,1.344
"470","1181.2",4.152,1.326,1.344
"471","1181.2",4.152,1.326,1.344
"472","1181.2",7.168333333,1.21049505,2.037777778
"473","1181.2",7.168333333,1.21049505,2.037777778
"474","1181.2",7.168333333,1.21049505,2.037777778
"475","1181.2",7.168333333,1.21049505,2.037777778
"476","1181.2",7.168333333,1.21049505,2.037777778
"477","1181.2",7.168333333,1.21049505,2.037777778
"478","1181.2",7.168333333,1.21049505,2.037777778
"479","1181.2",7.168333333,1.21049505,2.037777778
"480","1181.2",7.168333333,1.21049505,2.037777778
"481","1181.2",7.168333333,1.21049505,2.037777778
"482","1181.2",7.168333333,1.21049505,2.037777778
"483","1181.2",7.168333333,1.21049505,2.037777778
"484","1181.2",7.168333333,1.21049505,2.037777778
"485","1181.2",7.168333333,1.21049505,2.037777778
"486","1181.2",7.168333333,1.21049505,2.037777778
"487","1181.2",7.168333333,1.21049505,2.037777778
"488","1181.2",7.168333333,1.21049505,2.037777778
"489","1181.2",7.168333333,1.21049505,2.037777778
"490","1181.2",7.168333333,1.21049505,2.037777778
"491","1181.2",7.168333333,1.21049505,2.037777778
"492","1181.2",7.168333333,1.21049505,2.037777778
"493","1181.2",7.168333333,1.21049505,2.037777778
"494","1181.2",7.168333333,1.21049505,2.037777778
"495","1181.2",7.168333333,1.21049505,2.037777778
"496","1181.2",7.168333333,1.21049505,2.037777778
"497","1181.2",7.168333333,1.21049505,2.037777778
"498","1181.2",7.168333333,1.21049505,2.037777778
"499","1181.2",7.168333333,1.21049505,2.037777778
"500","1181.2",7.168333333,1.21049505,2.037777778
"501","1181.2",7.168333333,1.21049505,2.037777778
"502","1181.2",7.168333333,1.21049505,2.037777778
"503","1181.2",7.168333333,1.21049505,2.037777778
"504","1181.2",7.168333333,1.21049505,2.037777778
"505","1181.2",7.168333333,1.21049505,2.037777778
"506","1181.2",7.168333333,1.21049505,2.037777778
"507","1181.2",7.168333333,1.21049505,2.037777778
"508","1181.2",7.168333333,1.21049505,2.037777778
"509","1181.2",7.168333333,1.21049505,2.037777778
"510","1181.2",7.168333333,1.21049505,2.037777778
"511","1181.2",7.168333333,1.21049505,2.037777778
"512","1181.2",7.168333333,1.21049505,2.037777778
"513","1181.2",7.168333333,1.21049505,2.037777778
"514","1181.2",7.168333333,1.21049505,2.037777778
"515","1181.2",7.168333333,1.21049505,2.037777778
"516","1181.2",7.168333333,1.21049505,2.037777778
"517","1181.2",7.168333333,1.21049505,2.037777778
"518","1181.2",12.38,2.37,3.75
"519","1181.2",9.36,2.17,2.9
